目,总科,科,属,种,宿主,采集地,编号,标本来源,测序是否成功,"是否
注释",是否发表文章,排列方式,长度
,Ascaridoidea,Acanthocheilidae,Mawsonascaris,Mawsonascaris zhoui,颗粒犁头鳐,厦门,Mz,丰亚宇,√,√,,GA3,13834
Ascaridomorpha/Ascaridida,,Anisakidae,Contracaecum,Contracaecum spasskii,小鷿鷈,沈阳,Cos,李淋苇,,,,,
,,,,Contracaecum sp.,夜鹭,河北省沧州市南大港自然保护区,Cmi,李淋苇,,,,,
,,,Ophidascaris,Ophidascaris sp.,松花蛇（胃）,长沙,Oph,谷晓红,,,,,
,,,Pseudanisakis,Pseudanisakis rajae,史氏鳐,山东石岛,Pr,丰亚宇,,,,GA3,14054
,,Ascarididae,Baylisascaris,Baylisascaris procyonis,浣熊（小肠）,昆明动物园,Bayli,谷晓红,√,√,,,
,,,Ophidascaris,Ophidascaris wangi,大王蛇,广西,W2,丰亚宇,√,√,,GA3,14662
,,,Parascaris equorum,Parascaris equorum,斑马,石家庄动物园,PAR_CHX_1,陈慧霞,,,,,
,,,Seuratascaris,Seuratascaris numidica,虎纹蛙（胃肠）,广西省钦州市,Seur,陈慧霞,√,√,Chen et al. (2017)，仅形态,,
,,,,Seuratascaris physalis,小棘蛙（胃肠）,云南省西双版纳勐腊县曼迈,Sal,陈慧霞,,,Chen et al. (2022)，仅形态,,
,,,,Seuratascaris physalis bazhaiensis,大绿臭蛙肠胃,广西八寨沟景区,Sgx,谷晓红,√,√,Gu et al. (2025),,
,,Heterocheilidae,Dujardinascaris,Dujardinascaris gigantea,鳄鱼,安徽芜湖,Dujar,LiL,,,,,
,,Raphidascarididae,Hysterothylacium,Hysterothylacium dollfusi,,美国,Doll,泥雪峰,√,√,,,
,,,,Hysterothylacium hainanensis,海鳗（肝脏、肠道）,厦门上李市场,Hh,LiL,√,√,,,
,,,,Hysterothylacium aduncum,马鲛,中国辽宁省葫芦岛市,H-ad,乔海霞,,,,,
,,,,Hysterothylacium longilabrum,褐蓝子鱼、沟蓝子鱼,中国南海,Hlong,乔海霞,,,,,
,,,,Hysterothylacium reliquens,东方箬鳎,伊拉克,Hreli,乔海霞,,,,,
,,,,Hysterothylacium thalassini,长尾大眼鲷、短尾大眼鲷,中国南海,Htha,乔海霞,,,,,
,,,,Hysterothylacium amoyense,马鲛,中国辽宁省葫芦岛市,H-am,乔海霞,,,,,
,,,,Hysterothylacium zhoushanense,赤刀鱼,中国浙江省,H-zh,乔海霞,,,,,
,,,,Hysterothylacium fabri (larva),马鲛,中国辽宁省葫芦岛市,H-fa,乔海霞,,,,,
,,,,Hysterothylacium fabri (adult),日本䲢,中国浙江省舟山附近海域,Hfa2,乔海霞,,,,,
,,,,Hysterothylacium hainanense (larva),金线鱼,中国海南省三亚市,H-ha,乔海霞,,,,,
,,,,Hysterothylacium hainanense (adult),项鳞䲢,中国海南省三亚市附近海域,Hhai2,乔海霞,,,,,
,,,,Hysterothylacium sp.,红丹鲹/高体鰤 Seriola dumerili,伊拉克,Hsd/S40,谷晓红,,,,,
,,,,Hysterothylacium sp.,波斯鳓 Ilisha compressa,伊拉克,HIC/I7,谷晓红,,,,,
,,,Raphidascaris,Raphidascaris longispicula,尖尾鳗 肠胃,三亚,Rlong,谷晓红,,,,,
,,,,Raphidascaris acus,辣茄鱼,三亚,Racus,丰亚宇,√,√,,GA3,13889
,,,,Raphidascaris lophii (L3),青䲢 体腔,舟山,loph,谷晓红,,,,,
,,,Raphidascaroides,Raphidascaroides nipponensis,辣茄鱼,三亚,Rn,丰亚宇,√,√,,GA3,13884
,,Toxocaridae,Porrocaecum,Porrocaecum hebei,白枕鹤,河北省沧州市海兴县,Pb,李淋苇,,,,,
,,,,porrocaecum angusticolle,common Buzzard,,p1-2,丰亚宇,√,√,,GA3,14585
,,,,Porrocaecum ensicaudatum,,,Pm,丰亚宇,√,√,,GA3,14412
,,,,Porrocaecum moraveci,白头鹞,捷克,Cir,郭宁,√,√,,,
,,,,Porrocaecum reticulatum,大白鹭,捷克,Porro,郭宁,√,√,,,
,,,,Porrocaecum sp.,白鹭 Egretta Garzetta,巴基斯坦,BL,Yousaf,,,,,
,Cosmocercoidea,Cosmoceridae,Aplectana,Aplectana dayaoshanensis,斑腿泛树蛙 Polypedates megacephalus,海南省吊罗山森林公园,DY,泥雪峰,√,,,,
,,,,,细刺水蛙 肠、胃,广西省大瑶山,Ada,谷晓红,×,×,,,
